Date,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,2025/05/16,
Time,05:00:00,05:01:00,05:02:00,05:03:00,05:04:00,05:05:00,05:06:00,05:07:00,05:08:00,05:09:00,05:10:00,05:11:00,05:12:00,05:13:00,05:14:00,05:15:00,05:16:00,05:17:00,05:18:00,05:19:00,05:20:00,05:21:00,05:22:00,05:23:00,05:24:00,05:25:00,05:26:00,05:27:00,05:28:00,05:29:00,05:30:00,05:31:00,05:32:00,05:33:00,05:34:00,05:35:00,05:36:00,05:37:00,05:38:00,05:39:00,05:40:00,05:41:00,05:42:00,05:43:00,05:44:00,05:45:00,05:46:00,05:47:00,05:48:00,05:49:00,05:50:00,05:51:00,05:52:00,05:53:00,05:54:00,05:55:00,05:56:00,05:57:00,05:58:00,05:59:00,
Memo,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,
Sensor Temp.(deg),24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,0.01,0.01,-0.00,0.01,0.00,0.00,0.03,-0.00,-0.00,0.02,-0.00,0.01,0.03,-0.00,0.02,0.00,-0.01,-0.02,-0.01,-0.00,0.01,-0.01,0.02,-0.01,-0.00,0.00,0.00,0.00,0.02,-0.00,0.03,-0.01,0.01,0.00,0.01,0.00,-0.00,-0.01,-0.00,0.01,0.01,0.01,0.00,-0.01,0.01,0.03,0.01,-0.00,-0.01,-0.01,0.00,0.00,-0.01,0.01,-0.01,-0.01,0.02,0.02,0.01,0.00,
301.00,0.01,0.01,-0.01,0.02,0.00,-0.00,0.04,-0.00,-0.01,0.02,-0.00,0.01,0.03,0.00,0.01,0.00,-0.00,-0.02,0.00,-0.00,0.01,-0.01,0.02,0.00,-0.01,0.00,0.01,-0.00,0.02,-0.00,0.03,-0.01,0.00,-0.01,0.00,-0.00,-0.01,-0.01,-0.01,0.02,0.00,0.02,0.01,0.00,0.01,0.03,0.01,-0.01,-0.00,-0.01,-0.00,0.01,-0.01,0.00,-0.01,0.01,0.01,0.01,0.02,-0.00,
302.00,0.01,0.01,-0.00,0.02,0.01,0.00,0.04,0.00,-0.00,0.01,0.00,0.00,0.03,0.00,0.01,-0.01,-0.00,-0.01,-0.00,-0.00,0.01,-0.01,0.01,0.01,-0.02,-0.00,0.01,-0.01,0.02,-0.00,0.03,-0.00,-0.00,-0.00,0.02,0.00,-0.01,-0.00,-0.01,0.00,-0.01,0.01,-0.00,0.00,0.00,0.02,-0.00,-0.01,0.00,-0.01,-0.00,0.01,-0.02,0.01,0.00,-0.00,0.01,0.00,0.02,-0.01,
